Registration date;Total usage time;Pets;Carpet score;Sent for repair;Failure date;Battery status;Impact status;IR status
;;;;;;;;
29Jul2019;280;1;1;NO;---;---;---;---
8Sep2019;89;0;1;NO;---;---;---;---
6Jun2016;545;0;3;YES;29Oct2019;Damage;OK;OK
25Feb2019;741;1;3;NO;---;---;---;---
17Mar2018;97;1;3;YES;20Apr2018;OK;OK;Damage
5Aug2017;1672;1;3;NO;---;---;---;---
7Sep2018;1115;1;3;NO;---;---;---;---
3Sep2015;1091;0;3;YES;1Jun2019;Damage;OK;OK
14Apr2018;641;0;3;NO;---;---;---;---
11Jul2018;1452;1;1;NO;---;---;---;---
15Apr2017;956;0;5;NO;---;---;---;---
6Aug2018;369;0;6;NO;---;---;---;---
3Sep2019;182;1;4;NO;---;---;---;---
11Apr2016;626;0;3;NO;---;---;---;---
24Apr2017;1322;1;1;NO;---;---;---;---
13Sep2019;78;0;4;NO;---;---;---;---
22Nov2019;49;0;1;NO;---;---;---;---
3Aug2015;1099;0;1;YES;21Jun2019;Damage;OK;OK
17May2017;1158;0;2;NO;---;---;---;---
20Oct2017;2038;1;3;NO;---;---;---;---
9Jul2019;217;0;1;NO;---;---;---;---
11Sep2015;1567;0;3;NO;---;---;---;---
11Dec2019;33;0;2;NO;---;---;---;---
25Sep2019;222;1;1;NO;---;---;---;---
31May2015;2087;0;2;YES;15Mar2019;Damage;OK;OK
27Jul2017;2090;1;3;YES;9Sep2019;Damage;OK;OK
13Dec2016;3074;1;2;NO;---;---;---;---
12Jul2019;116;0;1;NO;---;---;---;---
27Mar2017;1439;1;1;NO;---;---;---;---
7Mar2019;603;1;3;NO;---;---;---;---
8Sep2018;430;0;3;NO;---;---;---;---
20Jan2019;364;0;6;NO;---;---;---;---
9Dec2016;1202;1;3;YES;15Nov2019;Damage;OK;OK
5Jun2018;173;0;6;YES;7Nov2018;OK;OK;Damage
8Jan2015;659;0;3;YES;26Jan2017;Damage;OK;OK
1Mar2019;239;0;1;NO;---;---;---;---
14Jan2015;2490;1;2;NO;---;---;---;---
15Jan2016;1197;0;2;NO;---;---;---;---
14Jul2019;237;0;1;NO;---;---;---;---
22Jan2018;1598;1;3;NO;---;---;---;---
24Nov2016;163;1;2;YES;8Mar2017;OK;OK;Damage
6Mar2017;1017;0;1;NO;---;---;---;---
10Mar2015;2702;1;1;YES;20Sep2017;OK;Damage;OK
13Nov2019;30;0;1;NO;---;---;---;---
27Feb2017;2706;1;3;NO;---;---;---;---
15Oct2019;169;1;2;NO;---;---;---;---
10Jun2019;150;0;3;NO;---;---;---;---
14Mar2018;350;0;5;NO;---;---;---;---
8Nov2019;153;1;2;NO;---;---;---;---
3Feb2018;362;0;2;NO;---;---;---;---
31Aug2016;172;0;2;YES;4Apr2017;OK;OK;Damage
25Sep2016;1165;0;1;NO;---;---;---;---
28Dec2016;756;0;1;NO;---;---;---;---
3Dec2018;955;1;3;NO;---;---;---;---
13Mar2015;1861;0;3;YES;8Jul2019;Damage;OK;OK
29Sep2018;393;0;1;NO;---;---;---;---
21May2018;1321;1;5;NO;---;---;---;---
9Nov2015;1307;0;1;YES;21Aug2018;Damage;OK;OK
21Apr2016;2282;1;2;NO;---;---;---;---
28Jul2017;1789;1;4;NO;---;---;---;---
18May2018;1308;1;5;NO;---;---;---;---
30Nov2019;21;0;3;NO;---;---;---;---
18Oct2018;253;0;3;YES;11Aug2019;OK;OK;Damage
31Oct2017;916;0;3;NO;---;---;---;---
1Apr2019;528;1;4;NO;---;---;---;---
12Dec2015;790;0;3;NO;---;---;---;---
10May2016;1389;0;2;NO;---;---;---;---
21Feb2019;392;0;2;NO;---;---;---;---
19Jun2018;573;0;4;NO;---;---;---;---
15Mar2016;1803;0;3;YES;31Oct2019;Damage;OK;OK
20Mar2015;1657;0;3;NO;---;---;---;---
14Sep2015;1248;0;2;NO;---;---;---;---
31Jan2016;1360;0;6;NO;---;---;---;---
25May2017;2571;1;2;NO;---;---;---;---
27Dec2015;2282;1;2;NO;---;---;---;---
6Aug2018;617;0;5;NO;---;---;---;---
15Jan2015;2734;1;2;YES;14Nov2017;Damage;OK;OK
16Nov2016;974;1;2;YES;15Aug2017;Damage;OK;OK
28Jul2017;277;0;2;NO;---;---;---;---
3Jan2015;2190;1;1;YES;12Nov2018;Damage;OK;OK
28Nov2017;791;0;3;NO;---;---;---;---
16Oct2015;1169;0;6;YES;22Nov2019;Damage;OK;OK
17Oct2016;1620;0;1;NO;---;---;---;---
24Mar2018;253;0;2;YES;11Sep2018;OK;OK;Damage
17Nov2018;404;0;2;NO;---;---;---;---
26Oct2017;673;0;3;NO;---;---;---;---
